Uthmani,Simple
وَسَنَزِيدُ,وسنزيد
ٱلْمُحْسِنِينَ,المحسنين
فَبَدَّلَ,فبدل
ظَلَمُوا۟,ظلموا
قَوْلًا,قولا
غَيْرَ,غير
فَأَنزَلْنَا,فأنزلنا
رِجْزًا,رجزا
يَفْسُقُونَ,يفسقون
وَإِذِ,وإذ
ٱسْتَسْقَىٰ,استسقى
فَقُلْنَا,فقلنا
ٱضْرِب,اضرب
بِّعَصَاكَ,بعصاك
ٱلْحَجَرَ,الحجر
فَٱنفَجَرَتْ,فانفجرت
مِنْهُ,منه
ٱثْنَتَا,اثنتا
عَشْرَةَ,عشرة
عَيْنًا,عينا
قَدْ,قد
عَلِمَ,علم
كُلُّ,كل
أُنَاسٍ,أناس
مَّشْرَبَهُمْ,مشربهم
وَٱشْرَبُوا۟,واشربوا
رِّزْقِ,رزق
تَعْثَوْا۟,تعثوا
مُفْسِدِينَ,مفسدين
نَّصْبِرَ,نصبر
طَعَامٍ,طعام
وَٰحِدٍ,واحد
فَٱدْعُ,فادع
لَنَا,لنا
رَبَّكَ,ربك
يُخْرِجْ,يخرج
تُنۢبِتُ,تنبت
ٱلْأَرْضُ,الأرض
بَقْلِهَا,بقلها
وَقِثَّآئِهَا,وقثائها
وَفُومِهَا,وفومها
وَعَدَسِهَا,وعدسها
وَبَصَلِهَا,وبصلها
أَتَسْتَبْدِلُونَ,أتستبدلون
أَدْنَىٰ,أدنى
بِٱلَّذِى,بالذي
مِصْرًا,مصرا
فَإِنَّ,فإن
سَأَلْتُمْ,سألتم
وَضُرِبَتْ,وضربت
عَلَيْهِمُ,عليهم
ٱلذِّلَّةُ,الذلة
وَٱلْمَسْكَنَةُ,والمسكنة
وَبَآءُو,وباءوا
بِغَضَبٍ,بغضب
بِأَنَّهُمْ,بأنهم
يَكْفُرُونَ,يكفرون
بِـَٔايَٰتِ,بآيات
وَيَقْتُلُونَ,ويقتلون
ٱلنَّبِيِّۦنَ,النبيين
بِغَيْرِ,بغير
ٱلْحَقِّ,الحق
عَصَوا۟,عصوا
وَّكَانُوا۟,وكانوا
يَعْتَدُونَ,يعتدون
هَادُوا۟,هادوا
وَٱلنَّصَٰرَىٰ,والنصارى
وَٱلصَّٰبِـِٔينَ,والصابئين
مَنْ,من
وَٱلْيَوْمِ,واليوم
وَعَمِلَ,وعمل
صَٰلِحًا,صالحا
فَلَهُمْ,فلهم
أَجْرُهُمْ,أجرهم
أَخَذْنَا,أخذنا
مِيثَٰقَكُمْ,ميثاقكم
وَرَفَعْنَا,ورفعنا
فَوْقَكُمُ,فوقكم
ٱلطُّورَ,الطور
خُذُوا۟,خذوا
ءَاتَيْنَٰكُم,آتيناكم
بِقُوَّةٍ,بقوة
وَٱذْكُرُوا۟,واذكروا
تَوَلَّيْتُم,توليتم
فَلَوْلَا,فلولا
فَضْلُ,فضل
وَرَحْمَتُهُۥ,ورحمته
لَكُنتُم,لكنتم
